#Title: Towards Detecting The 2175 Angstrom Dust Feature Associated With Strong
#       High Redshift Mg II Absorption Lines
#Authors: Jiang P., Ge J., Zhou H., Wang J., Wang T.
#Table: Median Composite DR7 Quasar Spectrum
#================================================================================
#Byte-by-byte Description of file: apj387309t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1-  6 F6.1   0.1nm   Wave   Wavelength; in Angstroms
#   8- 14 F7.3   ---     flamb  Monochromatic flux; arbitrary units
#  16- 20 F5.3   ---   e_flamb  Uncertainty in flamb
#--------------------------------------------------------------------------------
 991.0  39.671 0.144
 992.0  40.140 0.144
 993.0  40.439 0.146
 994.0  38.775 0.140
 995.0  37.437 0.139
 996.0  37.270 0.140
 997.0  37.402 0.139
 998.0  36.901 0.138
 999.0  37.909 0.140
1000.0  38.061 0.138
1001.0  36.998 0.136
1002.0  36.601 0.137
1003.0  36.869 0.137
1004.0  37.004 0.136
1005.0  37.418 0.135
1006.0  37.167 0.133
1007.0  37.328 0.133
1008.0  37.193 0.132
1009.0  36.822 0.129
1010.0  37.673 0.131
1011.0  37.976 0.132
1012.0  37.601 0.129
1013.0  37.779 0.129
1014.0  38.241 0.131
1015.0  37.995 0.129
1016.0  39.533 0.131
1017.0  41.541 0.132
1018.0  40.056 0.127
1019.0  39.539 0.125
1020.0  42.402 0.130
1021.0  44.639 0.130
1022.0  44.317 0.128
1023.0  44.116 0.127
1024.0  45.680 0.128
1025.0  48.041 0.130
1026.0  49.241 0.130
1027.0  49.946 0.129
1028.0  51.621 0.129
1029.0  52.866 0.130
1030.0  53.175 0.129
1031.0  52.699 0.126
1032.0  53.634 0.127
1033.0  54.395 0.127
1034.0  54.265 0.126
1035.0  54.852 0.127
1036.0  54.724 0.124
1037.0  53.422 0.123
1038.0  51.235 0.120
1039.0  49.334 0.118
1040.0  48.713 0.119
1041.0  46.536 0.116
1042.0  44.811 0.115
1043.0  44.432 0.116
1044.0  44.334 0.116
1045.0  42.791 0.113
1046.0  41.796 0.113
1047.0  41.457 0.112
1048.0  41.473 0.112
1049.0  41.068 0.110
1050.0  40.678 0.109
1051.0  40.625 0.109
1052.0  40.341 0.109
1053.0  39.836 0.109
1054.0  40.312 0.109
1055.0  39.445 0.105
1056.0  38.653 0.104
1057.0  39.876 0.106
1058.0  40.429 0.106
1059.0  40.671 0.106
1060.0  41.136 0.106
1061.0  40.927 0.105
1062.0  40.712 0.104
1063.0  41.381 0.104
1064.0  41.645 0.104
1065.0  40.251 0.101
1066.0  39.643 0.101
1067.0  40.906 0.102
1068.0  41.669 0.102
1069.0  41.137 0.101
1070.0  40.727 0.100
1071.0  40.572 0.100
1072.0  40.666 0.100
1073.0  40.879 0.098
1074.0  40.756 0.098
1075.0  40.257 0.097
1076.0  39.918 0.097
1077.0  38.597 0.095
1078.0  38.544 0.095
1079.0  39.675 0.096
1080.0  39.319 0.095
1081.0  37.683 0.093
1082.0  37.888 0.094
