target,ra,dec,zqso,zabs,NUV,J,H,K,W1,W2,AV_MW,sdss_name
J1007+2852,10:07:13.67,28:53:48.40,1.05,0.88,22.75,16.57,15.73,14.81,13.52,12.16,0.063,spec-10453-58136-0558
J1127+2424,11:27:21.09,24:24:17.14,2.08,1.21,20.5,16.4,16.1,15.2,14.5,13.27,0.05,spec-2501-54084-0309
